Fixed_Acidity,Volatile_Acidity,Citric_Acid,Chlorides,Free_Sulfur_Dioxide,Total_Sulfur_Dioxide,pH,Sulphates,Alcohol,sugar_density_pca
0.3076923076923078,0.18627450980392157,0.21686746987951808,0.10682492581602374,0.14982578397212543,0.37354988399071926,0.25454545454545485,0.26744186046511625,0.12903225806451624,0.2823966208454239
0.24038461538461542,0.21568627450980388,0.20481927710843376,0.11869436201780417,0.041811846689895474,0.2853828306264501,0.5272727272727273,0.31395348837209297,0.24193548387096775,0.07890007313508544
0.41346153846153855,0.19607843137254904,0.24096385542168677,0.12166172106824927,0.0975609756097561,0.20417633410672853,0.49090909090909074,0.25581395348837205,0.33870967741935476,0.12605673203778925
0.3269230769230771,0.14705882352941177,0.1927710843373494,0.1454005934718101,0.156794425087108,0.41067285382830626,0.42727272727272725,0.20930232558139533,0.306451612903226,0.14214874040644515
0.23076923076923084,0.23529411764705882,0.0963855421686747,0.10682492581602374,0.0975609756097561,0.29466357308584684,0.41818181818181843,0.29069767441860456,0.25806451612903225,0.12450652305202967
0.41346153846153855,0.1372549019607843,0.25903614457831325,0.10385756676557864,0.09059233449477352,0.27842227378190254,0.45454545454545503,0.26744186046511625,0.4838709677419355,0.0760291629704874
0.41346153846153855,0.18627450980392157,0.24698795180722893,0.07121661721068251,0.0313588850174216,0.12529002320185612,0.2454545454545456,0.3953488372093023,0.6451612903225807,0.042540594048091934
0.4615384615384617,0.14705882352941177,0.24096385542168677,0.07715133531157273,0.05226480836236934,0.23201856148491878,0.3818181818181823,0.3604651162790698,0.27419354838709675,0.10380614697311245
0.3942307692307694,0.0980392156862745,0.22289156626506026,0.09198813056379823,0.04878048780487805,0.15313225058004637,0.41818181818181843,0.47674418604651153,0.4516129032258067,0.05415307502561795
0.2692307692307693,0.0784313725490196,0.24096385542168677,0.10385756676557864,0.16027874564459932,0.31090487238979114,0.7454545454545456,0.3488372093023256,0.709677419354839,0.04729188849315917
0.43269230769230793,0.3333333333333333,0.3734939759036145,0.09198813056379823,0.13588850174216027,0.3781902552204176,0.23636363636363633,0.5232558139534884,0.27419354838709675,0.26397929899812983
0.2692307692307693,0.08823529411764708,0.22891566265060243,0.06824925816023741,0.09059233449477352,0.23897911832946633,0.4818181818181819,0.3837209302325581,0.5483870967741937,0.04950244806833798
0.24038461538461542,0.392156862745098,0.024096385542168676,0.10979228486646886,0.0975609756097561,0.20881670533642688,0.4727272727272731,0.16279069767441856,0.25806451612903225,0.0623349627369152
0.23076923076923084,0.5686274509803921,0.2891566265060241,0.05934718100890209,0.09407665505226481,0.15313225058004637,0.5545454545454547,0.19767441860465118,0.774193548387097,0.023205240973110913
0.34615384615384626,0.25490196078431376,0.2530120481927711,0.07121661721068251,0.05226480836236934,0.3758700696055684,0.36363636363636376,0.3604651162790698,0.5322580645161292,0.05017688507343052
0.2596153846153847,0.22549019607843135,0.08433734939759038,0.10385756676557864,0.11149825783972125,0.2877030162412993,0.45454545454545503,0.3255813953488372,0.24193548387096775,0.13443995472466347
0.2500000000000001,0.22549019607843135,0.22891566265060243,0.08605341246290801,0.059233449477351915,0.21577726218097448,0.40909090909090917,0.1511627906976744,0.4838709677419355,0.056536796745028366
0.28846153846153855,0.1764705882352941,0.2530120481927711,0.11869436201780417,0.13588850174216027,0.26218097447795824,0.6818181818181821,0.30232558139534876,0.403225806451613,0.0685076258486094
0.3653846153846154,0.5784313725490196,0.08433734939759038,0.19287833827893175,0.08013937282229966,0.36890951276102085,0.2999999999999998,0.3372093023255814,0.20967741935483875,0.074923883182898
0.2692307692307693,0.18627450980392157,0.24698795180722893,0.12759643916913946,0.04878048780487805,0.30858468677494194,0.6363636363636367,0.29069767441860456,0.3225806451612905,0.08907709903031245
0.3076923076923078,0.16666666666666666,0.1927710843373494,0.10979228486646886,0.18815331010452963,0.5475638051044084,0.4818181818181819,0.3255813953488372,0.3870967741935485,0.14434521356595192
